"","OLS","LASSO","Random Forest","Neural Nets"
"Quality",0.0428407687755277,0.0387189723909651,0.0427269528971196,0.0262667115897972
"Value",0.0362575188045449,0.0415387061345519,0.0354242884118839,0.0236891871670541
"Growth",0.0382923166623837,0.0450658424745821,0.0400665257655925,0.0341191643479576
"Momentum",0.0561525036563383,0.0410006361157197,0.0548531134092109,0.030173202255091
"Size",0.058565189580831,0.053340996757268,0.0440884593124803,0.0404838587993736
"Vol",0.0295373517998071,0.00871637272082259,0.0295447143369478,-0.00580369391664762
"Yield",0.0420227867043599,0.0240128441556319,0.0390152598411849,0.0162352476352236
